"","EventID","Metric","Value"
"509",5746,"TOLBENT_NTAX",5
"510",5746,"TOLBENT_PROP",0.345381526104418
"511",5746,"TOLBENT_SUM",86
"512",5746,"TOTAL",249
"513",5748,"BENT_NTAX",14
"514",5748,"BENT_PROP",0.652173913043478
"515",5748,"BENT_SUM",90
"516",5748,"COTTID_NTAX",0
"517",5748,"COTTID_PROP",0
"518",5748,"COTTID_SUM",0
"519",5748,"CYPR_NTAX",8
"520",5748,"CYPR_PROP",0.536231884057971
"521",5748,"CYPR_SUM",74
"522",5748,"MODTOL_NTAX",5
"523",5748,"MODTOL_PROP",0.166666666666667
"524",5748,"MODTOL_SUM",23
"525",5748,"TOLBENT_NTAX",6
"526",5748,"TOLBENT_PROP",0.384057971014493
"527",5748,"TOLBENT_SUM",53
"528",5748,"TOTAL",138
"529",5752,"BENT_NTAX",13
"530",5752,"BENT_PROP",0.646586345381526
"531",5752,"BENT_SUM",161
"532",5752,"COTTID_NTAX",0
"533",5752,"COTTID_PROP",0
"534",5752,"COTTID_SUM",0
"535",5752,"CYPR_NTAX",9
"536",5752,"CYPR_PROP",0.666666666666667
"537",5752,"CYPR_SUM",166
"538",5752,"MODTOL_NTAX",3
"539",5752,"MODTOL_PROP",0.0441767068273092
"540",5752,"MODTOL_SUM",11
"541",5752,"TOLBENT_NTAX",6
"542",5752,"TOLBENT_PROP",0.453815261044177
"543",5752,"TOLBENT_SUM",113
"544",5752,"TOTAL",249
"545",5754,"BENT_NTAX",10
"546",5754,"BENT_PROP",0.406976744186047
"547",5754,"BENT_SUM",35
"548",5754,"COTTID_NTAX",0
"549",5754,"COTTID_PROP",0
"550",5754,"COTTID_SUM",0
"551",5754,"CYPR_NTAX",5
"552",5754,"CYPR_PROP",0.337209302325581
"553",5754,"CYPR_SUM",29
"554",5754,"MODTOL_NTAX",2
"555",5754,"MODTOL_PROP",0.174418604651163
"556",5754,"MODTOL_SUM",15
"557",5754,"TOLBENT_NTAX",5
"558",5754,"TOLBENT_PROP",0.127906976744186
"559",5754,"TOLBENT_SUM",11
"560",5754,"TOTAL",86
"561",5756,"BENT_NTAX",9
"562",5756,"BENT_PROP",0.343434343434343
"563",5756,"BENT_SUM",68
"564",5756,"COTTID_NTAX",0
"565",5756,"COTTID_PROP",0
"566",5756,"COTTID_SUM",0
"567",5756,"CYPR_NTAX",9
"568",5756,"CYPR_PROP",0.606060606060606
"569",5756,"CYPR_SUM",120
"570",5756,"MODTOL_NTAX",3
"571",5756,"MODTOL_PROP",0.126262626262626
"572",5756,"MODTOL_SUM",25
"573",5756,"TOLBENT_NTAX",6
"574",5756,"TOLBENT_PROP",0.232323232323232
"575",5756,"TOLBENT_SUM",46
"576",5756,"TOTAL",198
"577",5758,"BENT_NTAX",12
"578",5758,"BENT_PROP",0.715877437325905
"579",5758,"BENT_SUM",257
"580",5758,"COTTID_NTAX",0
"581",5758,"COTTID_PROP",0
"582",5758,"COTTID_SUM",0
"583",5758,"CYPR_NTAX",7
"584",5758,"CYPR_PROP",0.654596100278552
"585",5758,"CYPR_SUM",235
"586",5758,"MODTOL_NTAX",4
"587",5758,"MODTOL_PROP",0.0891364902506964
"588",5758,"MODTOL_SUM",32
"589",5758,"TOLBENT_NTAX",6
"590",5758,"TOLBENT_PROP",0.576601671309192
"591",5758,"TOLBENT_SUM",207
"592",5758,"TOTAL",359
"593",5760,"BENT_NTAX",7
"594",5760,"BENT_PROP",0.28169014084507
"595",5760,"BENT_SUM",20
"596",5760,"COTTID_NTAX",0
"597",5760,"COTTID_PROP",0
"598",5760,"COTTID_SUM",0
"599",5760,"CYPR_NTAX",1
"600",5760,"CYPR_PROP",0.183098591549296
"601",5760,"CYPR_SUM",13
"602",5760,"MODTOL_NTAX",2
"603",5760,"MODTOL_PROP",0.380281690140845
"604",5760,"MODTOL_SUM",27
"605",5760,"TOLBENT_NTAX",3
"606",5760,"TOLBENT_PROP",0.211267605633803
"607",5760,"TOLBENT_SUM",15
"608",5760,"TOTAL",71
"609",5762,"BENT_NTAX",9
"610",5762,"BENT_PROP",0.447513812154696
"611",5762,"BENT_SUM",81
"612",5762,"COTTID_NTAX",0
"613",5762,"COTTID_PROP",0
"614",5762,"COTTID_SUM",0
